,Strang_order,N,beta,periodic,T,upsilon,sigma,p_dist,gamma,mean_var_R
0,0.0,1000.0,1.0,True,100.0,1e-09,1,1,100.0,0.001116545505280801
1,[0],1000,0.48181595140683026,True,100.0,2.0881713505099596e-09,1,1,123.11782367635398,0.0033943854013625723
2,[0],1000,2.5656694770078228,True,100.0,1.9180728581998437e-09,1,1,298.76669367066404,0.016961721444885766
3,[0],1000,0.51214489245810824,True,100.0,2.4017688832852269e-10,1,1,184.05645744116777,0.00084392139787216954
4,[0],1000,0.69859563262299884,True,100.0,8.618207933531212e-10,1,1,28.724668385795489,0.00017441701592105696
5,[0],1000,0.39026440800641882,True,100.0,5.3320809202089347e-10,1,1,225.24374158515576,0.0027527201738876922
6,[0],1000,11.911108495844834,True,100.0,1.6669675025616025e-09,1,1,313.06234231588758,0.016163916575978449
7,[0],1000,1.9948304678612148,True,100.0,3.3901160914350343e-09,1,1,264.34211896890065,0.023331988254594593
8,[0],1000,0.42371728372311201,True,100.0,4.2162968296459918e-10,1,1,68.288499604539496,0.0002472329268916464
9,[0],1000,1.5506567521557149,True,100.0,3.184075417638031e-10,1,1,194.12818886946928,0.0012342790890513217
