,Strang_order,N,beta,T,upsilon,sigma,p_dist,gamma,mean_var_R
0,0.0,10000.0,0.4083797007960211,42.659810281126525,0.0004840932768621066,1.0,1.0,1.0053959667696037,0.1641456828478963
1,0.0,10000.0,0.33090496772712946,25.402324058141886,6.440392317697668e-05,1.0,1.0,0.6000301871385054,0.2680874092991576
2,0.0,10000.0,0.3011245997388162,14.15753872744922,0.00031674518419581925,1.0,1.0,0.6720839547839582,0.06750131389333747
3,0.0,10000.0,2.7590429612003926,285.4456578957606,4.205000355251867e-05,1.0,1.0,0.92935724756509,1.7404007598770361
4,0.0,10000.0,0.3576836277010684,4.7704960335697,0.00025027276600850083,1.0,1.0,2.581237335761147,0.023608768519841367
5,0.0,10000.0,6.14998011816743,246.0058443970942,8.988926492249726e-05,1.0,1.0,1.6427841212107794,1.7521010217654978
6,0.0,10000.0,5.578083884069419,35.14261262964087,5.177251672777549e-05,1.0,1.0,5.869303650800892,0.4147053189478837
7,0.0,10000.0,1.1080165934841082,152.30832137455826,0.0002479042155377452,1.0,1.0,2.6508927250300864,0.9446150158534751
8,0.0,10000.0,0.5181115611001899,92.04601268658902,7.040790435379841e-05,1.0,1.0,1.8988771495141228,1.052260448667506
9,0.0,10000.0,0.40439084003360914,76.69951484126666,0.004223197915900832,1.0,1.0,0.15793972407482754,0.1281700516983306
