,Strang_order,N,beta,T,upsilon,sigma,p_dist,gamma,mean_var_R
0,0.0,1318.0,0.3604803023396813,13.778597255873587,3.807802216415365e-10,1.0,1.0,0.7119342266328574,0.282863167189016
1,0.0,1202.0,3.0245998835129355,2.224682662545188,2.788197646584658e-11,1.0,1.0,8.311655190182579,1.3833344546873596
2,0.0,2272.0,2.9634858956503547,8.074541212782501,1.0272717673782983e-10,1.0,1.0,0.5558066011116245,1.1231520958355719
3,0.0,474.0,0.41943168117263974,164.05821369503417,8.439916457809147e-11,1.0,1.0,0.7912851910263201,7.086918182117484e-08
4,0.0,464.0,0.15819305735691835,0.776119775051573,6.468185909020313e-11,1.0,1.0,5.136992945544434,1.5373862479748845
5,0.0,592.0,0.2742206639188121,10.06118493488166,4.820823191097035e-11,1.0,1.0,1.4022198385243354,0.006910946260946213
6,0.0,298.0,1.2804344632152096,4.031564638177984,5.609070202321656e-11,1.0,1.0,0.7237599248129382,0.019849988220530197
7,0.0,1070.0,0.6164871566032724,19.74059903436763,2.5185642059663976e-10,1.0,1.0,2.0322197178242054,0.025495564482052802
8,0.0,512.0,0.34119258229035065,17.583047414349664,6.394034198952717e-10,1.0,1.0,1.2948905828851573,0.00547503967620664
9,0.0,420.0,13.470026927941635,7.679671973358912,1.8027271133281067e-10,1.0,1.0,0.472457247112443,0.018967950892547394
10,0.0,3080.0,0.19453618788357296,20.88643876516502,1.9927126305606797e-10,1.0,1.0,1.6012811222926873,0.5652158827103094
11,0.0,1962.0,17.856513507501813,9.387483283118087,8.399715030550906e-11,1.0,1.0,0.3494640233489156,0.727036622024366
12,0.0,438.0,0.421544629787385,40.59659871928313,5.346674052206836e-10,1.0,1.0,2.784201570328459,8.731033249984403e-05
13,0.0,758.0,1.0277094253206551,6.952354814723464,5.051914013447387e-11,1.0,1.0,1.390404311257861,0.07929282109585699
14,0.0,486.0,0.7179863352179133,36.00306128526106,9.592010132172827e-11,1.0,1.0,5.381846486946134,3.850194159500824e-05
15,0.0,678.0,1.8447926953827032,8.441402800845747,5.3257777954155055e-11,1.0,1.0,0.9314283823686109,0.025960559779883704
16,0.0,6332.0,0.5102745874049901,0.9862673002128667,6.118390904552858e-11,1.0,1.0,0.6070465774590733,0.3000820987810077
17,0.0,506.0,4.714225302327802,88.7795193647539,1.1188469590142829e-10,1.0,1.0,1.6346646731240728,1.4257755467560523e-06
18,0.0,696.0,0.21907382231201236,3.367458621715542,8.456975256309654e-11,1.0,1.0,0.7871323695589177,0.7172001719643322
19,0.0,974.0,3.286214457982974,11.43747290807972,1.2217696730847148e-11,1.0,1.0,1.2839112693449166,0.007670217769356913
20,0.0,790.0,0.9703836151489773,15.820516601995832,3.801089140274002e-11,1.0,1.0,4.380058030644437,0.0028277828922879562
21,0.0,690.0,5.14193093159503,13.719617233904776,5.843913520560849e-11,1.0,1.0,0.1455628506165996,0.0044564354647702534
22,0.0,3120.0,0.8540295694324863,14.350523401895849,2.1887836074741908e-10,1.0,1.0,0.3061367995407125,1.0475717201083625
23,0.0,972.0,0.1211638176941167,1.691753329481493,5.526483117451601e-11,1.0,1.0,1.1502052961426188,1.5170426495202587
24,0.0,3002.0,0.751610536122777,7.786505898586418,4.730013020981193e-11,1.0,1.0,0.2844562051735427,1.2358207693602627
25,0.0,6556.0,0.716483028363758,7.530634536758533,3.462175163515332e-11,1.0,1.0,0.34792964340039034,1.6463185185290994
26,0.0,584.0,0.8223087356560511,3.4492377510838,1.335992232193677e-10,1.0,1.0,1.3899323693053107,0.60927998195497
27,0.0,2608.0,0.5882638548403788,3.048284934139875,3.154946584993116e-11,1.0,1.0,0.3496284717216068,1.6289845811657457
28,0.0,736.0,0.6580674012212289,342.5595081217276,3.342541751241531e-11,1.0,1.0,5.558859518092558,1.3284708323801056e-08
29,0.0,2386.0,5.899324466469726,1.8986898881107659,1.6929514649868535e-10,1.0,1.0,0.8849887037133467,1.1002679767465895
30,0.0,332.0,0.9785151399705427,9.646825471524988,1.202170532983905e-10,1.0,1.0,4.0801813910616636,0.0020174958636549464
31,0.0,1994.0,1.2902754802199643,2.15261327984961,2.5171694464803116e-10,1.0,1.0,0.17476475487407025,1.363335022349388
32,0.0,1022.0,0.16857297584934655,0.524896759175334,3.516151398740789e-11,1.0,1.0,0.8558084963994462,1.4420846432781789
33,0.0,460.0,3.0682438042346223,8.040459986286068,1.500450393197611e-10,1.0,1.0,1.8532835005324828,0.01890936790053139
34,0.0,7180.0,0.8116351604774641,23.494202216362854,6.840580631197799e-11,1.0,1.0,1.1972439731104303,1.1016256398368967
35,0.0,1914.0,1.0767967142859907,1.204291688122486,1.10684509616925e-10,1.0,1.0,0.03527849078114161,0.95851670662204
